,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
50,Abapó,-18.8333,-63.4667,71.89,59,31,4.34,BO,1660779217
51,Ibrā’,22.6906,58.5334,85.64,48,90,2.48,OM,1660779218
52,Katsuura,35.1333,140.3,82.42,86,100,20.51,JP,1660779218
53,Riwaka,-41.0833,173.0,61.02,99,100,5.61,NZ,1660779219
54,Huron,41.1501,-82.5499,74.68,71,14,3.56,US,1660779219
55,San Vicente,-26.6167,-54.1333,61.48,98,98,8.41,AR,1660779219
56,Kapaa,22.0752,-159.319,86.11,58,0,11.5,US,1660779003
57,Butaritari,3.0707,172.7902,81.72,64,100,13.85,KI,1660779220
58,San Andrés,12.5847,-81.7006,86.02,70,75,6.91,CO,1660779220
59,Riyadh,24.6877,46.7219,89.74,13,61,9.89,SA,1660779019
60,Lawrence,38.9717,-95.2353,84.61,43,0,6.91,US,1660779221
61,Qaanaaq,77.484,-69.3632,38.35,74,44,1.61,GL,1660779221
62,Ilulissat,69.2167,-51.1,41.02,93,100,8.05,GL,1660779222
63,Tabuk,17.4189,121.4443,74.05,97,100,3.76,PH,1660779222
64,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,56,20,6.71,RU,1660779086
65,Tabou,4.423,-7.3528,74.52,80,68,6.67,CI,1660779223
66,Bennington,42.8781,-73.1968,64.96,94,100,0.0,US,1660778870
67,Khatanga,71.9667,102.5,45.95,80,100,8.25,RU,1660779223
68,Ust-Maya,60.4167,134.5333,56.64,81,100,0.6,RU,1660779224
69,Hegang,47.4,130.3667,74.46,54,6,7.23,CN,1660779224
70,Vaini,-21.2,-175.2,75.36,60,40,14.97,TO,1660779225
71,Tromsø,69.6496,18.957,48.22,87,75,2.3,NO,1660779225
72,Nara,34.6851,135.8049,74.91,87,100,3.53,JP,1660779225
73,Hong Kong,22.2855,114.1577,81.25,93,35,8.99,HK,1660779164
74,Flinders,-34.5833,150.8552,58.37,74,82,1.99,AU,1660779226
75,Aketi,2.7388,23.7833,68.14,94,98,1.03,CD,1660779227
76,Nogales,31.3086,-110.9422,83.01,69,75,3.44,MX,1660779031
77,Carnarvon,-24.8667,113.6333,59.18,60,87,19.06,AU,1660779227
78,Loukhi,66.0764,33.0381,66.94,74,72,10.22,RU,1660779228
79,Hithadhoo,-0.6,73.0833,81.36,77,96,12.1,MV,1660779228
80,Eyl,7.9803,49.8164,76.32,80,99,18.5,SO,1660779229
81,Trabzon Province,40.9167,39.8333,73.49,73,75,11.5,TR,1660779229
82,Puerto Ayora,-0.7393,-90.3518,67.55,93,74,5.01,EC,1660779229
83,Saint-Philippe,-21.3585,55.7679,65.21,80,4,6.49,RE,1660779230
84,Khani,41.9563,42.9566,69.37,80,42,2.48,GE,1660779230
85,Hasaki,35.7333,140.8333,79.29,88,100,18.81,JP,1660779231
86,Grand Gaube,-20.0064,57.6608,65.37,84,0,4.0,MU,1660779231
87,Cape Town,-33.9258,18.4232,55.11,85,20,3.44,ZA,1660779055
88,Norman Wells,65.282,-126.8329,78.84,41,75,14.97,CA,1660779232
89,Puerto El Triunfo,13.2833,-88.55,88.66,79,69,2.75,SV,1660779232
90,Dubovyy Umët,52.9763,50.2857,64.4,55,100,7.63,RU,1660779233
91,Hilo,19.7297,-155.09,87.28,77,40,10.36,US,1660778965
92,Ruteng,-8.6136,120.4721,64.94,82,54,2.42,ID,1660779233
93,São João da Barra,-21.6403,-41.0511,72.5,80,5,31.23,BR,1660779234
94,Suntar,62.1444,117.6319,53.71,90,53,9.98,RU,1660779234
95,Ojiya,37.3,138.8,77.4,90,100,4.56,JP,1660779234
96,Saint George,37.1041,-113.5841,94.24,35,75,28.77,US,1660779014
97,Lagoa,39.05,-27.9833,71.04,64,71,4.88,PT,1660779235
98,Courtenay,49.6866,-124.9936,97.0,34,0,10.36,CA,1660779007
99,Port Elizabeth,-33.918,25.5701,58.32,75,0,13.8,ZA,1660779174
100,Kondinskoye,59.6481,67.41,44.73,77,97,7.72,RU,1660779236
101,Belmonte,-15.8631,-38.8828,71.46,77,37,7.85,BR,1660779236
102,Rio Grande,-32.035,-52.0986,60.91,96,37,5.82,BR,1660779237
103,Virtsu,58.5716,23.5115,69.06,96,85,8.14,EE,1660779237
104,Lebu,-37.6167,-73.65,47.32,79,86,9.82,CL,1660779237
105,Guerrero Negro,27.9769,-114.0611,81.0,56,100,12.71,MX,1660779238
106,San Patricio,28.017,-97.5169,92.12,61,25,12.55,US,1660779238
107,Nanortalik,60.1432,-45.2371,40.55,86,25,14.58,GL,1660779239
108,Murgab,37.4966,61.9714,75.09,26,0,8.59,TM,1660779239
109,Tuktoyaktuk,69.4541,-133.0374,62.6,72,100,17.27,CA,1660779239
110,Padang,-0.9492,100.3543,77.68,85,70,3.76,ID,1660779240
111,Coos Bay,43.3665,-124.2179,87.31,88,0,19.57,US,1660779240
112,San Cristobal,7.7669,-72.225,77.18,86,3,2.95,VE,1660779241
113,Mount Gambier,-37.8333,140.7667,55.99,82,77,17.6,AU,1660779241
114,Severodvinsk,64.5635,39.8302,66.31,72,61,8.25,RU,1660779242
115,Khovd,48.0056,91.6419,52.11,24,9,5.46,MN,1660779242
116,Prado,-17.3411,-39.2208,71.33,83,14,10.96,BR,1660779160
117,Yulara,-25.2406,130.9889,67.77,22,0,10.94,AU,1660779243
118,Isangel,-19.55,169.2667,72.7,91,82,16.37,VU,1660779243
119,Taltal,-25.4,-70.4833,59.76,81,20,8.01,CL,1660779244
120,Bonthe,7.5264,-12.505,75.74,87,100,10.2,SL,1660779244
121,Tocopilla,-22.092,-70.1979,60.21,68,12,6.49,CL,1660779125
122,Nikolskoye,59.7035,30.7861,69.87,73,83,4.23,RU,1660779245
123,Charyshskoye,51.3978,83.5598,45.07,93,79,4.76,RU,1660779245
124,Te Anau,-45.4167,167.7167,48.61,99,100,0.07,NZ,1660779246
125,Wagar,16.1525,36.2032,80.24,71,92,18.37,SD,1660779246
126,Bambous Virieux,-20.3428,57.7575,65.21,94,40,3.44,MU,1660779247
127,Caravelas,-17.7125,-39.2481,72.19,77,13,8.95,BR,1660779247
128,Dingle,10.9995,122.6711,78.87,84,98,0.81,PH,1660779248
129,Kaitangata,-46.2817,169.8464,48.63,98,100,6.29,NZ,1660779248
130,Río Gallegos,-51.6226,-69.2181,32.05,80,0,3.44,AR,1660779096
131,Bredasdorp,-34.5322,20.0403,50.07,89,68,11.01,ZA,1660779249
132,Bathsheba,13.2167,-59.5167,81.21,83,75,12.66,BB,1660779249
133,Peniche,39.3558,-9.3811,64.29,87,3,24.0,PT,1660779250
134,Fort-Shevchenko,44.5086,50.263,82.83,37,0,15.84,KZ,1660779250
135,Benghazi,32.1167,20.0667,81.68,76,0,10.16,LY,1660779251
136,Russellville,35.2784,-93.1338,71.98,85,100,3.44,US,1660779251
137,Esperance,-33.8667,121.9,54.21,64,72,16.84,AU,1660779252
138,Alayao,14.2818,122.5524,78.01,90,100,2.24,PH,1660779252
139,George Town,5.4112,100.3354,80.89,94,20,2.3,MY,1660779252
140,Barrow,71.2906,-156.7887,35.62,93,100,19.57,US,1660779253
141,Lompoc,34.6391,-120.4579,94.01,68,0,14.97,US,1660779254
142,Chui,-33.6971,-53.4616,50.99,83,64,12.64,UY,1660779255
143,Nouadhibou,20.931,-17.0347,75.18,69,19,23.02,MR,1660779256
144,Kununurra,-15.7667,128.7333,62.58,51,0,1.14,AU,1660779256
145,Esim,4.8699,-2.2405,73.58,83,7,6.04,GH,1660779257
146,Xushan,30.1764,121.2457,82.33,68,70,3.69,CN,1660779257
147,Kuklis,41.4053,22.6653,72.59,49,0,5.64,MK,1660779257
148,Isabela,6.7085,121.9711,78.85,79,100,4.25,PH,1660779258
149,Puerto Quijarro,-17.7833,-57.7667,90.9,34,77,8.68,BO,1660779258
150,Tūkrah,32.5341,20.5791,79.7,84,0,5.97,LY,1660779259
151,Nortelândia,-14.4547,-56.8028,82.42,42,50,5.06,BR,1660779259
152,Faya,18.3851,42.4509,68.11,65,54,4.61,SA,1660779260
153,Laguna,38.421,-121.4238,93.18,28,20,3.44,US,1660779260
154,Yellowknife,62.456,-114.3525,77.52,47,20,10.36,CA,1660779261
155,Marathon,44.9,-89.7668,78.33,56,75,5.75,US,1660779261
156,Quelimane,-17.8786,36.8883,65.84,94,1,4.97,MZ,1660779262
157,Arco,45.9177,10.8867,73.38,87,58,4.09,IT,1660779262
158,Mar del Plata,-38.0023,-57.5575,45.95,71,20,13.0,AR,1660779005
159,Brăduţ,46.1333,25.6167,63.25,93,29,0.83,RO,1660779263
160,Ust'-Ishim,57.6935,71.1665,39.85,96,77,5.17,RU,1660779263
161,Faanui,-16.4833,-151.75,70.97,83,100,6.58,PF,1660779264
162,Mossamedes,-15.1961,12.1522,61.02,86,67,6.02,AO,1660779264
163,Carballo,43.213,-8.691,62.29,87,11,6.96,ES,1660779265
164,Prizren,42.2139,20.7397,67.64,56,4,3.0,XK,1660779265
165,Salalah,17.0151,54.0924,75.29,100,100,5.75,OM,1660779266
166,Havre-St-Pierre,50.2334,-63.5986,68.36,64,75,5.75,CA,1660779266
167,Dobrinka,52.1653,40.4731,72.34,43,91,17.25,RU,1660779266
168,Praia,14.9215,-23.5087,79.34,83,75,13.8,CV,1660779228
169,Balvi,57.1313,27.2658,64.24,79,50,2.66,LV,1660779267
170,Iqaluit,63.7506,-68.5145,40.73,100,100,2.3,CA,1660779268
171,Marquette,46.5333,-87.6335,74.64,71,100,4.47,US,1660779268
172,Kaeo,-35.1,173.7833,64.33,97,100,23.04,NZ,1660779268
173,Lüderitz,-26.6481,15.1594,57.74,84,43,4.54,NA,1660779269
174,Deputatsky,69.3,139.9,49.8,65,100,5.37,RU,1660779269
175,Vostok,46.4856,135.8833,72.23,57,96,2.42,RU,1660779270
176,Inuvik,68.3499,-133.7218,74.16,53,75,16.11,CA,1660779270
177,Kenai,60.5544,-151.2583,54.14,97,100,10.36,US,1660779270
178,La Ronge,55.1001,-105.2842,77.25,47,75,11.5,CA,1660779013
179,Iquitos,-3.7481,-73.2472,84.24,74,40,0.0,PE,1660779271
180,Les Escoumins,48.1111,-69.0236,49.35,86,100,12.55,CA,1660779272
181,Talnakh,69.4865,88.3972,54.64,62,11,14.41,RU,1660779272
182,Sirte,31.2089,16.5887,83.39,59,0,7.9,LY,1660779273
183,Sarangani,5.4033,125.4636,79.54,80,100,6.46,PH,1660779273
184,Aswān,24.0934,32.907,88.9,27,0,11.5,EG,1660779273
185,Vardø,70.3705,31.1107,51.78,93,100,17.27,NO,1660779274
186,Hamilton,39.1834,-84.5333,80.01,59,75,5.75,US,1660779250
187,Airai,-8.9266,125.4092,66.51,44,20,4.21,TL,1660779103
188,Kismayo,-0.3582,42.5454,74.32,79,35,16.53,SO,1660779275
189,Hornepayne,49.2138,-84.7705,70.23,53,21,6.62,CA,1660779275
190,Krasnosel'kup,65.7,82.4667,48.0,85,23,10.67,RU,1660779276
191,Thompson,55.7435,-97.8558,77.16,61,75,11.5,CA,1660779014
192,Bintulu,3.1667,113.0333,75.61,88,20,5.99,MY,1660779276
193,Pevek,69.7008,170.3133,41.79,66,0,2.01,RU,1660779277
194,Balabac,7.9868,117.0645,81.75,80,95,4.45,PH,1660779277
195,Spring,30.0799,-95.4172,99.88,47,75,8.05,US,1660779277
196,Saint-Augustin,51.226,-58.6502,64.53,63,100,6.87,CA,1660779278
197,Kinston,35.2627,-77.5816,80.71,57,40,8.05,US,1660779278
198,Castro,-24.7911,-50.0119,58.35,95,92,6.87,BR,1660779279
199,Sorong,-0.8833,131.25,78.06,87,99,13.44,ID,1660779279
200,Fethiye,36.6217,29.1164,78.67,43,0,3.36,TR,1660779279
201,Adrar,20.5022,-10.0711,95.0,30,24,7.72,MR,1660779280
202,North Bend,43.4065,-124.2243,87.24,82,0,19.57,US,1660779280
203,Linjiang,41.8069,126.9078,69.66,86,34,2.68,CN,1660779280
204,Bengkulu,-3.8004,102.2655,75.4,87,44,4.47,ID,1660779265
205,Chāndpur,29.15,78.2667,78.28,76,2,2.15,IN,1660779281
206,Grajaú,-5.8194,-46.1386,79.3,36,19,3.58,BR,1660779282
207,Chara,56.9064,118.2631,53.85,62,92,3.76,RU,1660779282
208,Pindushi,62.9152,34.58,63.75,84,5,5.64,RU,1660779283
209,Bar Harbor,44.3876,-68.2039,64.27,93,100,11.5,US,1660779283
210,Chokurdakh,70.6333,147.9167,54.75,60,100,14.29,RU,1660779283
211,Ribeira Grande,38.5167,-28.7,71.78,61,89,5.32,PT,1660779284
212,Xiaolan,22.6731,113.2295,82.09,76,41,6.42,CN,1660779284
213,Gorontalo,0.5412,123.0595,78.46,83,99,2.13,ID,1660779285
214,Bačko Petrovo Selo,45.7081,20.0753,74.57,42,19,4.65,RS,1660779285
215,Yaan,7.3833,8.5667,72.97,87,71,4.14,NG,1660779285
216,Moree,-29.4667,149.85,58.86,57,5,3.33,AU,1660779286
217,Dachau,48.26,11.434,67.86,82,98,7.14,DE,1660779286
218,Sitka,57.0531,-135.33,60.69,88,100,6.91,US,1660779287
219,Touros,-5.1989,-35.4608,75.74,81,42,17.49,BR,1660779250
220,Puerto Escondido,15.85,-97.0667,85.03,61,40,5.75,MX,1660779287
221,Gilbués,-9.8317,-45.3439,73.98,37,3,5.59,BR,1660779288
222,East London,-33.0153,27.9116,60.04,58,13,7.23,ZA,1660779288
223,Buala,-8.145,159.5921,85.1,62,35,7.14,SB,1660779289
224,Pinega,64.7001,43.3936,63.25,83,11,5.21,RU,1660779289
225,Swellendam,-34.0226,20.4417,51.67,88,51,9.04,ZA,1660779290
226,Effingham County,32.3669,-81.3332,82.35,65,75,4.54,US,1660779290
227,Arrondissement de Lannion,48.75,-3.4167,63.68,97,2,8.5,FR,1660779166
228,Saskylakh,71.9167,114.0833,42.06,90,100,13.06,RU,1660779291
229,Cayenne,4.9333,-52.3333,78.84,89,75,0.0,GF,1660779291
230,Beyşehir,37.6773,31.7246,69.04,47,31,5.68,TR,1660779292
231,Torbay,47.6666,-52.7314,61.75,96,100,17.27,CA,1660779292
232,Tambura,5.6,27.4667,64.69,97,90,4.9,SS,1660779293
233,Benguela,-12.5763,13.4055,69.53,77,99,3.09,AO,1660779293
234,Kupang,-10.1667,123.5833,79.45,64,30,12.41,ID,1660779294
235,Aykhal,66.0,111.5,47.46,96,100,10.67,RU,1660779294
236,Akureyri,65.6835,-18.0878,49.93,71,75,3.44,IS,1660779294
237,Provideniya,64.3833,-173.3,51.91,54,20,8.95,RU,1660779295
238,Tiksi,71.6872,128.8694,45.07,86,22,13.53,RU,1660779295
239,Klaksvík,62.2266,-6.589,50.92,89,97,30.31,FO,1660779296
240,Beringovskiy,63.05,179.3167,46.22,69,97,5.1,RU,1660779296
241,Tucdao,11.7011,124.4719,81.55,78,76,8.03,PH,1660779296
242,Grafton,42.207,-71.6856,71.85,68,100,6.91,US,1660779261
243,Vanimo,-2.6741,141.3028,80.58,84,33,3.67,PG,1660779297
244,Steinbach am Taunus,50.1667,8.5667,73.08,67,0,4.61,DE,1660779297
245,Ambovombe,-25.1667,46.0833,65.75,75,70,5.19,MG,1660779298
246,Arraial do Cabo,-22.9661,-42.0278,71.56,83,0,20.71,BR,1660779298
247,Belaya Gora,68.5333,146.4167,53.78,77,100,8.16,RU,1660779298
248,Coahuayana Viejo,18.7333,-103.6833,84.02,75,95,3.85,MX,1660779299
249,Maragogi,-9.0122,-35.2225,73.83,79,65,14.27,BR,1660779299
250,Luwuk,-0.9516,122.7875,79.63,81,91,5.61,ID,1660779300
251,Wasilla,61.5814,-149.4394,60.01,73,75,12.66,US,1660779196
252,Ballina,-28.8667,153.5667,62.78,60,4,3.53,AU,1660779300
253,Dakar,14.6937,-17.4441,81.48,81,100,12.95,SN,1660779301
254,Kruisfontein,-34.0033,24.7314,52.88,83,28,16.46,ZA,1660779301
255,Loa Janan,-0.583,117.095,76.26,94,73,2.53,ID,1660779302
256,Nemuro,43.3236,145.575,67.03,86,84,10.11,JP,1660779303
257,Kulachi,31.9286,70.4592,78.06,85,100,9.84,PK,1660779303
258,Bonnyville,54.2668,-110.735,82.2,34,19,6.26,CA,1660779304
259,Baruun-Urt,46.6806,113.2792,57.24,53,100,13.6,MN,1660779304
260,Severo-Kuril'sk,50.6789,156.125,55.33,93,88,12.82,RU,1660779306
261,Urengoy,65.9667,78.3667,47.26,88,39,7.92,RU,1660779306
262,Jahāngīrpur,28.1833,77.7167,78.98,84,1,5.23,IN,1660779307
263,Kurkino,53.4257,38.6582,70.77,47,100,13.2,RU,1660779307
264,Barcelos,41.5388,-8.6151,64.69,83,1,7.34,PT,1660779308
265,Saint Paul Harbor,57.79,-152.4072,58.51,77,75,12.66,US,1660779196
266,São Félix do Xingu,-6.6447,-51.995,78.03,34,0,1.63,BR,1660779308
267,Altamira,-3.2033,-52.2064,78.57,49,19,2.44,BR,1660779229
268,Muros,42.7762,-9.0603,59.85,83,1,11.23,ES,1660779309
269,Bose,45.4612,8.0137,67.21,91,49,4.94,IT,1660779310
270,Saint-Pierre,-21.3393,55.4781,65.28,70,0,3.44,RE,1660779144
271,Las Tablas,7.7667,-80.2833,80.28,80,10,2.77,PA,1660779310
272,Guimbal,10.6633,122.3228,81.12,74,99,0.36,PH,1660779311
273,Angoche,-16.2325,39.9086,70.38,80,0,3.74,MZ,1660779311
274,Vila Velha,-20.3297,-40.2925,75.15,81,0,10.36,BR,1660779312
275,Paraty,-23.2178,-44.7131,71.71,78,66,2.93,BR,1660779312
276,Hofn,64.2539,-15.2082,50.52,91,99,8.9,IS,1660779313
277,Fare,-16.7,-151.0167,75.38,70,100,5.06,PF,1660779313
278,Uray,60.1247,64.7758,44.44,67,86,5.88,RU,1660779314
279,Necochea,-38.5473,-58.7368,41.49,61,2,11.27,AR,1660779314
280,Otavi,-19.65,17.3333,59.05,17,29,8.19,NA,1660779315
281,Gulbarga,17.3333,76.8333,71.92,87,15,8.9,IN,1660779315
282,Preobrazheniye,42.9019,133.9064,73.58,66,4,3.4,RU,1660779316
283,Øksfjord,70.2396,22.3479,50.18,87,100,8.41,NO,1660779316
284,Albert,50.0009,2.651,64.8,92,40,4.61,FR,1660779317
285,Beloha,-25.1667,45.05,62.29,88,79,4.0,MG,1660779317
286,Pirganj,25.8523,88.3618,84.85,71,100,4.68,BD,1660779318
287,Phalaborwa,-23.943,31.1411,65.88,19,36,6.04,ZA,1660779318
288,Barkhan,29.8977,69.5256,72.0,87,100,14.23,PK,1660779319
289,Marabu,4.4148,114.0089,77.14,94,40,2.3,MY,1660779319
290,Altay,47.8667,88.1167,48.76,33,13,2.68,CN,1660779320
291,Daru,-9.0763,143.2092,78.03,64,99,11.95,PG,1660779320
292,Dzhebariki-Khaya,62.2167,135.8,55.24,89,98,4.56,RU,1660779321
293,Lavrentiya,65.5833,-171.0,41.38,68,97,13.96,RU,1660779321
294,Nuuk,64.1835,-51.7216,45.21,81,20,5.75,GL,1660779049
295,Acapulco de Juárez,16.8634,-99.8901,87.62,62,75,4.61,MX,1660779148
296,Distrikt Paramaribo,5.8667,-55.1667,84.11,70,40,9.22,SR,1660779322
297,Bac Lieu,9.285,105.7244,80.17,84,53,8.3,VN,1660779323
298,Avera,33.194,-82.5271,78.31,69,49,4.25,US,1660779323
299,Crixás,-14.5489,-49.9692,78.98,26,0,4.03,BR,1660779324
300,Hilton Head,32.2163,-80.7526,82.51,79,40,3.0,US,1660779079
301,Tranås,58.0372,14.9782,58.39,76,100,0.92,SE,1660779325
302,Ville-Marie,47.3335,-79.433,69.3,65,79,2.15,CA,1660779325
303,Ampanihy,-24.7,44.75,61.84,85,57,4.21,MG,1660779325
304,Ust-Tsilma,65.441,52.1498,51.19,80,47,5.06,RU,1660779326
305,Oussouye,12.485,-16.5469,74.62,92,100,3.47,SN,1660779326
306,Puerto Peñasco,31.3167,-113.5333,87.91,81,65,17.0,MX,1660779287
307,Stromness,58.965,-3.296,52.88,81,89,18.01,GB,1660779327
308,Jardim,-21.4803,-56.1381,76.33,66,71,9.33,BR,1660779328
309,Broken Hill,-31.95,141.4333,60.94,33,92,26.55,AU,1660779328
310,Tuatapere,-46.1333,167.6833,51.46,92,100,3.94,NZ,1660779328
311,Zhigansk,66.7697,123.3711,55.63,85,100,2.04,RU,1660779329
312,Cidreira,-30.1811,-50.2056,59.27,94,42,8.05,BR,1660779329
313,Narsaq,60.9167,-46.05,48.42,73,0,2.84,GL,1660779330
314,Rameswaram,9.2833,79.3,81.39,82,93,19.28,IN,1660779330
315,Adré,13.4667,22.2,70.18,86,98,6.69,TD,1660779331
316,Lüshunkou,38.8,121.2667,77.22,75,76,8.81,CN,1660779331
317,Coari,-4.085,-63.1414,73.99,94,60,2.37,BR,1660779332
318,Saint Anthony,45.0205,-93.218,83.32,69,75,13.8,US,1660779332
319,Santa Cruz Cabrália,-16.2781,-39.0247,73.63,73,40,11.5,BR,1660779332
320,Mitsamiouli,-11.3847,43.2844,74.82,79,80,7.38,KM,1660779333
321,Molinella,44.6213,11.6686,74.17,92,38,4.61,IT,1660779333
322,Lakshmeshwar,15.1333,75.4667,68.92,91,57,10.58,IN,1660779334
323,Lázaro Cárdenas,17.9583,-102.2,84.72,70,94,5.03,MX,1660779334
324,Maniitsoq,65.4167,-52.9,41.56,86,42,2.1,GL,1660779335
325,Qorveh,35.1664,47.8045,67.84,30,25,3.67,IR,1660779335
326,Mīrābād,30.4362,61.8383,83.8,17,1,24.7,AF,1660779335
327,Vila,42.0304,-8.1588,52.68,95,4,6.35,PT,1660779336
328,Barra do Corda,-5.5,-45.25,78.66,41,3,3.42,BR,1660779336
329,Velasco Ibarra,-1.05,-79.6167,72.32,93,100,3.58,EC,1660779337
330,Spirovo,57.419,34.9766,61.48,75,6,4.76,RU,1660779337
331,Bud,39.447,-86.1758,80.58,56,8,7.85,US,1660779337
332,Alyangula,-13.8483,136.4192,75.31,47,0,10.38,AU,1660779338
333,Arlit,18.7369,7.3853,90.16,36,62,5.68,NE,1660779338
334,Constitución,-35.3333,-72.4167,46.09,76,2,11.97,CL,1660779057
335,Vanavara,60.34,102.2797,49.57,93,94,2.64,RU,1660779339
336,Longyearbyen,78.2186,15.6401,42.64,93,75,2.3,SJ,1660779339
337,Belyy Yar,53.6039,91.3903,44.85,81,0,4.47,RU,1660779340
338,Iğdır,39.9237,44.045,82.33,36,0,6.91,TR,1660779340
339,Umluj,25.0213,37.2685,85.89,75,36,6.89,SA,1660779341
340,Muli,2.9167,73.5667,81.41,74,71,2.66,MV,1660779341
341,Svirstroy,60.7999,33.7248,63.23,75,13,4.9,RU,1660779342
342,Gondanglegi,-7.7479,112.0132,76.78,81,19,10.36,ID,1660779342
343,Baghdad,33.3406,44.4009,85.91,32,0,9.22,IQ,1660779315
344,Tommot,58.9564,126.2925,57.69,72,40,5.3,RU,1660779343
345,Kristinestad,62.2743,21.376,64.0,97,86,7.45,FI,1660779343
346,Tsimmerbude,54.675,20.1347,66.96,70,55,6.35,RU,1660779131
347,Ajdabiya,30.7554,20.2263,80.6,60,0,9.84,LY,1660779344
348,Leningradskiy,69.3833,178.4167,39.51,78,34,10.27,RU,1660779344
349,Port Lincoln,-34.7333,135.8667,57.72,73,5,16.04,AU,1660779344
350,Sabang,5.8933,95.3214,82.42,75,92,13.65,ID,1660779345
351,Poddor'ye,57.4695,31.1156,64.83,74,74,4.25,RU,1660779345
352,Oktyabr'skoye,43.0645,44.7417,68.14,94,0,4.47,RU,1660779346
353,Tura,25.5198,90.2201,77.79,78,94,2.62,IN,1660779346
354,Ambilobe,-13.2,49.05,64.13,89,44,4.52,MG,1660779347
355,Tsiroanomandidy,-18.7667,46.0333,59.83,74,0,3.13,MG,1660779347
356,Alakurtti,66.9672,30.3491,62.28,96,90,4.52,RU,1660779348
